secs,client,point
0,browser,-1.04 51.96
0,browser,-1.04 51.96
14,code,-1.04 51.96
14,code,-1.04 51.96
217,browser,-0.30 51.76
217,browser,-0.30 51.76
224,browser,-1.04 51.96
224,browser,-1.04 51.96
241,code,-1.04 51.96
241,code,-1.04 51.96
256,browser,-0.30 51.76
256,browser,-0.30 51.76
316,code,-1.04 51.96
316,code,-1.04 51.96
392,browser,-0.83 51.74
392,browser,-0.83 51.74
776,code,-0.09 51.43
776,code,-0.09 51.43
776,code,-0.11 51.49
776,code,-0.11 51.49
776,code,-0.10 51.50
776,code,-0.10 51.50
776,code,-0.12 51.47
776,code,-0.12 51.47
776,code,-0.11 51.49
776,code,-0.11 51.49
776,code,-0.12 51.47
776,code,-0.12 51.47
776,code,-0.12 51.41
776,code,-0.12 51.41
776,code,-0.11 51.49
776,code,-0.11 51.49
776,code,-0.11 51.49
776,code,-0.11 51.49
776,code,-0.11 51.46
776,code,-0.11 51.46
779,code,-0.11 51.42
779,code,-0.11 51.42
779,code,-0.11 51.50
779,code,-0.11 51.50
779,code,-0.12 51.44
779,code,-0.12 51.44
779,code,-0.08 51.44
779,code,-0.08 51.44
779,code,-0.13 51.45
779,code,-0.13 51.45
783,code,-0.05 51.50
783,code,-0.05 51.50
783,code,-0.07 51.48
783,code,-0.07 51.48
783,code,-0.07 51.48
783,code,-0.07 51.48
783,code,-0.10 51.50
783,code,-0.10 51.50
783,code,-0.09 51.50
783,code,-0.09 51.50
783,code,-0.09 51.48
783,code,-0.09 51.48
783,code,-0.09 51.45
783,code,-0.09 51.45
783,code,-0.09 51.50
783,code,-0.09 51.50
783,code,-0.08 51.49
783,code,-0.08 51.49
783,code,-0.08 51.50
783,code,-0.08 51.50
783,code,-0.08 51.49
783,code,-0.08 51.49
783,code,-0.09 51.50
783,code,-0.09 51.50
786,code,-0.05 51.49
786,code,-0.05 51.49
786,code,-0.06 51.49
786,code,-0.06 51.49
787,code,-0.07 51.43
787,code,-0.07 51.43
789,code,-0.52 51.51
789,code,-0.52 51.51
790,code,-0.84 51.66
790,code,-0.84 51.66
790,code,-0.51 51.66
790,code,-0.51 51.66
790,code,-0.62 51.68
790,code,-0.62 51.68
790,code,-0.62 51.68
790,code,-0.62 51.68
790,code,-0.70 51.67
790,code,-0.70 51.67
790,code,-0.52 51.51
790,code,-0.52 51.51
790,code,-0.63 51.73
790,code,-0.63 51.73
790,code,-0.84 51.66
790,code,-0.84 51.66
790,code,-0.53 51.65
790,code,-0.53 51.65
792,code,-0.83 51.72
792,code,-0.83 51.72
793,code,-0.91 51.94
793,code,-0.91 51.94
793,code,-0.81 51.73
793,code,-0.81 51.73
793,code,-0.57 51.67
793,code,-0.57 51.67
793,code,-0.65 51.55
793,code,-0.65 51.55
793,code,-1.00 51.95
793,code,-1.00 51.95
793,code,-0.70 51.60
793,code,-0.70 51.60
793,code,-0.73 51.75
793,code,-0.73 51.75
793,code,-0.70 51.69
793,code,-0.70 51.69
793,code,-0.77 51.56
793,code,-0.77 51.56
793,code,-0.89 51.55
793,code,-0.89 51.55
795,code,-0.66 51.61
795,code,-0.66 51.61
796,code,-0.82 51.82
796,code,-0.82 51.82
796,code,-0.63 51.73
796,code,-0.63 51.73
796,code,-0.83 51.80
796,code,-0.83 51.80
796,code,-0.62 51.66
796,code,-0.62 51.66
